宿舍名稱或地址,房間坪數,價格,房型,電費,房東性別,租客性別,住宿品質,與靜宜距離
致富王,4,4200,單人房單人床,5,物業,無限制,4,1600
快樂佳園,4,3000,單人房單人床,5,女,無限制,3,300
靜宜佳園,4,3600,單人房單人床,5,女,無限制,3,300
大学之道,4,4500,單人房單人床,5,男,無限制,3,350
大學之道,4,3650,單人房單人床,4,男,無限制,3,350
靜宜一街,4,4500,單人房單人床,5,女,無限制,3,450
英才路,4,3500,單人房單人床,5,女,無限制,3,900
中山路117號旁,4,5800,單人房雙人床,5,男,無限制,3,1600
台灣大道六段926巷,4,4500,單人房單人床,5,女,無限制,3,1600
國王,4,4000,單人房單人床,5,女,無限制,2,350
英才路31號,4,2833,單人房單人床,5,女,無限制,2,450
英才路33號,4,2833,單人房單人床,5,女,無限制,2,450
英才路35號,4,2833,單人房單人床,5,女,無限制,2,450
英才路31號,4,2250,單人房單人床,5,女,無限制,1,450
英才路33號,4,2250,單人房單人床,5,女,無限制,1,450
英才路35號,4,2250,單人房單人床,5,女,無限制,1,450
欣宜學苑,3.5,4000,單人房單人床,5,女,僅限女性,4,100
北勢東愛將牛排對面,3.5,3500,單人房雙人床,4.5,女,僅限女性,4,550
北勢東路615巷2弄,3.5,3500,單人房雙人床,4.5,女,僅限女性,3,650
國王,3,4500,單人房單人床,5,女,無限制,4,350
巨星,3,3250,單人房單人床,3,女,無限制,4,400
雲松,3,4000,單人房單人床,5,男,無限制,4,500
立祥樓,3,3200,單人房單人床,5,女,無限制,3,750
大學聯盟,3,4000,單人房單人床,5,女,無限制,3,750
靜宜大街,3,4000,單人房單人床,3,女,無限制,3,1200
晉文路183巷25-36號,,4500,單人房單人床,5,女,無限制,3,950
發財墅,,6000,單人房雙人床,5,女,無限制,3,1300
台中市沙鹿區靜宜商圈巨星大樓,,5500,雙人房,5,女,無限制,2,400
致富院,,5000,單人房單人床,5,女,無限制,2,700
致富商學院,,3500,單人房雙人床,5,女,無限制,2,1000
